# PKPK RISE FALL timestamp
6.55E+00 2.85E-09 3.55E-08 4726712795058
6.03E+00 2.34E-09 2.17E-09 4728289143450
6.43E+00 3.84E-09 3.20E-09 4736212623596
6.88E+00 2.78E-09 2.43E-09 4737175304255
6.70E+00 2.72E-09 2.96E-09 4739360326278
6.54E+00 9.48E-10 9.67E-10 4743624284020
6.44E+00 1.11E-09 1.82E-09 4746751189365
7.31E+00 1.65E-09 2.11E-09 4748261972227
7.07E+00 9.34E-09 2.32E-09 4749713802125
6.65E+00 2.69E-09 5.93E-09 4751108413862
6.19E+00 1.40E-09 1.62E-09 4752272746316
6.95E+00 1.42E-09 8.48E-10 4754753937899
6.28E+00 2.44E-09 2.27E-09 4756702894697
6.88E+00 2.51E-09 2.45E-09 4757720529096
6.13E+00 2.77E-09 9.66E-09 4763740939542
6.73E+00 1.08E-08 3.08E-09 4765847137841
6.13E+00 9.52E-09 2.63E-09 4769084176092
