# Time_s MIN
0.000000 0.004160
0.060145 0.004880
0.067247 0.005180
0.083641 0.004570
0.085306 0.004160
0.285389 0.005060
0.325601 0.004360
0.384044 0.004170
0.407780 0.004260
0.428583 0.004210
0.481231 0.004320
0.611101 0.004930
0.640709 0.004290
0.761770 0.004420
0.794312 0.004510
0.802335 0.004020
0.854790 0.004400
0.861260 0.004020
0.865312 0.004580
0.866149 0.004160
0.901343 0.005780
0.917777 0.004050
1.102299 0.004560
1.142698 0.004080
1.163763 0.004080
1.191612 0.004130
1.300599 0.004260
1.341776 0.004440
1.399377 0.004210
1.493807 0.005100
1.536629 0.004310
1.552442 0.004390
1.564478 0.004140
1.566485 0.005520
1.583561 0.004370
1.632196 0.004230
1.650568 0.004260
1.713733 0.004070
1.760650 0.004610
1.965679 0.004400
2.024660 0.004230
2.121068 0.004560
2.166384 0.004160
2.211184 0.004570
2.212407 0.004020
2.391003 0.004100
2.412622 0.004450
2.464741 0.004040
2.495656 0.004550
2.528267 0.004910
2.542604 0.004210
2.658069 0.004070
2.695518 0.004070
2.754069 0.004500
2.823948 0.004210
2.836949 0.004590
2.992337 0.004680
3.043704 0.005190
3.088558 0.004150
3.131563 0.004530
3.255687 0.004970
3.270998 0.004300
3.311198 0.004170
3.363089 0.004430
3.452258 0.004110
3.456660 0.004130
3.470786 0.004440
3.504676 0.004200
3.545506 0.004350
3.594133 0.005140
3.594697 0.004180
3.615933 0.004590
3.643425 0.004090
3.678173 0.004050
3.695083 0.004240
3.755198 0.004690
3.758368 0.005180
3.897455 0.004680
3.918464 0.004770
3.935137 0.004500
3.971494 0.004220
4.343475 0.004120
4.407260 0.004540
4.409964 0.004120
4.442941 0.004510
4.481854 0.004150
4.503530 0.004240
4.527179 0.004490
4.534883 0.004320
4.550982 0.004320
4.719854 0.004520
4.787558 0.004290
4.873575 0.004070
4.891630 0.004050
4.935268 0.004250
5.027705 0.004050
5.046461 0.004440
5.125141 0.004170
5.153012 0.004260
5.173766 0.004640
5.217076 0.004140
5.383220 0.004250
5.458053 0.004240
5.491809 0.004210
5.691371 0.004200
5.701229 0.004560
5.781465 0.004090
5.812720 0.005810
5.858283 0.004110
5.862565 0.004300
5.862786 0.004830
6.005628 0.004150
6.153216 0.004210
6.191562 0.004030
6.388845 0.004170
6.579884 0.004140
6.725724 0.004360
7.030877 0.005330
7.031465 0.004910
7.209341 0.004230
7.216797 0.004710
7.223047 0.004950
7.233707 0.004150
7.315369 0.004510
7.550960 0.004370
7.579697 0.004480
7.621642 0.004080
7.685280 0.004540
7.782797 0.004220
7.833744 0.004050
7.855720 0.005540
7.874620 0.004200
7.951772 0.004090
7.973462 0.004080
7.984289 0.004420
7.999069 0.004850
8.005568 0.004320
8.073165 0.004200
8.093718 0.004060
8.114343 0.005860
8.214263 0.004230
8.226056 0.004080
8.261296 0.004120
8.342369 0.004580
8.371532 0.004060
8.464700 0.004460
8.506276 0.004070
8.553471 0.004280
8.905547 0.004360
8.939954 0.004060
8.954155 0.004210
9.076200 0.004140
9.104756 0.005530
9.195166 0.004240
9.238453 0.004100
9.323108 0.004430
9.364149 0.004100
9.405014 0.004710
9.437324 0.004540
9.493946 0.004520
9.624014 0.005050
9.643869 0.004230
9.653673 0.004030
9.671272 0.004670
9.769494 0.004110
9.780499 0.004480
9.793202 0.004090
9.906110 0.005660
9.960707 0.004500
9.972580 0.004120
10.049273 0.004160
10.141120 0.004740
10.150863 0.004930
10.234255 0.004250
10.416350 0.004100
10.462049 0.004030
10.508567 0.004140
10.640428 0.004080
10.704378 0.004170
10.733523 0.004420
10.780304 0.005150
10.912396 0.004260
10.931381 0.004180
11.054965 0.004220
11.199640 0.004340
11.290490 0.004340
11.372596 0.004520
11.396123 0.004770
11.413066 0.004620
11.484502 0.004210
11.661636 0.004500
11.694849 0.004320
11.723356 0.004210
11.797973 0.004030
11.954254 0.004160
11.954581 0.004540
12.018021 0.004370
12.020331 0.004030
12.055093 0.005280
12.111514 0.004210
12.142559 0.004470
12.277831 0.004100
12.294065 0.004550
12.327301 0.004120
12.455030 0.004540
12.485453 0.004070
12.539910 0.004070
12.598124 0.004040
12.620812 0.004230
12.678516 0.004430
12.681479 0.004060
12.732831 0.004750
12.772996 0.004300
12.787547 0.004070
12.815084 0.004160
12.906586 0.005000
12.993690 0.004100
13.004395 0.004400
13.058146 0.004160
13.074728 0.004160
13.155910 0.004930
13.164934 0.004070
13.173674 0.004040
13.190400 0.004120
13.317816 0.005090
13.333704 0.004090
13.561096 0.004960
13.564580 0.004620
13.587871 0.004170
13.591614 0.004350
13.640623 0.004190
13.717961 0.004160
13.776462 0.004660
13.797762 0.004820
13.956049 0.004280
14.011796 0.004540
14.080781 0.004220
14.105743 0.004230
14.137298 0.004780
14.182121 0.004140
14.305674 0.004230
14.321899 0.004200
14.341499 0.005080
14.342556 0.004290
14.355377 0.004540
14.367681 0.004190
14.381392 0.004820
14.398200 0.004210
14.420811 0.004310
14.464401 0.004280
14.533475 0.004110
14.591531 0.004050
14.721871 0.004040
14.784659 0.004190
14.800297 0.004470
14.804970 0.004240
14.949146 0.004180
14.951977 0.004320
14.984598 0.004530
15.079456 0.004150
15.083836 0.004140
15.162240 0.004220
15.293661 0.004270
15.366591 0.004810
15.410580 0.005330
15.437985 0.004610
15.462721 0.004100
15.477194 0.004380
15.580109 0.004240
15.652008 0.004570
15.785566 0.004150
15.799898 0.004230
15.833903 0.004040
15.854941 0.004390
15.869579 0.004360
15.967151 0.004200
15.969026 0.004420
15.982974 0.004030
16.013523 0.004520
16.099180 0.004410
16.117993 0.004110
16.122322 0.004240
16.305736 0.004510
16.329774 0.004090
16.338522 0.004490
16.349892 0.004880
16.369705 0.004390
16.444394 0.004260
